Destino Inicial,Destino Final,Data,Preço
lon,rom,7,312
lon,rom,8,299
lon,rom,9,410
lon,rom,10,327
lon,rom,11,241
lon,rom,12,312
lon,rom,13,185
lon,rom,14,216
lon,rom,15,185
lon,rom,16,352
lon,rom,17,241
lon,rom,18,297
lon,rom,19,312
lon,rom,20,327
lon,rom,21,185
lon,rom,22,352
lon,rom,23,548
lon,rom,24,690
lon,rom,25,604
lon,rom,26,437
lon,rom,27,296
lon,rom,28,271
lon,rom,29,216
lon,rom,30,148
lon,rom,31,195
mad,ams,1,386
mad,ams,2,389
mad,ams,3,433
mad,ams,4,652
mad,ams,5,656
mad,ams,6,568
mad,ams,7,345
mad,ams,8,313
mad,ams,9,383
mad,ams,10,495
mad,ams,11,495
mad,ams,12,556
mad,ams,13,460
mad,ams,14,425
mad,ams,15,386
mad,ams,16,361
mad,ams,17,337
mad,ams,18,511
mad,ams,19,313
mad,ams,20,744
mad,ams,21,673
mad,ams,22,382
mad,ams,23,1.067
mad,ams,24,516
mad,ams,25,370
mad,ams,26,437
mad,ams,27,473
mad,ams,28,324
mad,ams,29,382
mad,ams,30,783
mad,ams,31,385
mad,bhz,21,2.783
mad,bhz,22,2.783
mad,bhz,23,2.783
mad,bhz,24,2.783
mad,bhz,25,2.620
mad,bhz,26,2.783
mad,bhz,27,2.783
mad,bhz,28,2.783
mad,bhz,29,2.620
mad,bhz,30,3.504
mad,bhz,31,2.783
mad,lon,1,417
mad,lon,2,210
mad,lon,3,210
mad,lon,4,171
mad,lon,5,305
mad,lon,6,399
mad,lon,7,174
mad,lon,8,172
mad,lon,9,173
mad,lon,10,348
mad,lon,11,171
mad,lon,12,286
mad,lon,13,220
mad,lon,14,174
mad,lon,15,175
mad,lon,16,195
mad,lon,17,196
mad,lon,18,171
mad,lon,19,286
mad,lon,20,220
mad,lon,21,174
mad,lon,22,172
mad,lon,23,173
mad,lon,24,174
mad,lon,25,171
mad,lon,26,224
mad,lon,27,358
mad,lon,28,174
mad,lon,29,329
mad,lon,30,268
mad,lon,31,454
mad,par,1,329
mad,par,2,244
mad,par,3,265
mad,par,4,244
mad,par,5,249
mad,par,6,239
mad,par,7,206
mad,par,8,271
mad,par,9,250
mad,par,10,271
mad,par,11,323
mad,par,12,338
mad,par,13,338
mad,par,14,244
mad,par,15,191
mad,par,16,191
mad,par,17,210
mad,par,18,220
mad,par,19,303
mad,par,20,319
mad,par,21,271
mad,par,22,372
mad,par,24,435
mad,par,25,435
mad,par,26,239
mad,par,27,761
mad,par,28,650
mad,par,29,271
mad,par,30,207
mad,par,31,319
mad,rom,1,399
mad,rom,2,395
mad,rom,3,147
mad,rom,4,258
mad,rom,5,443
mad,rom,6,237
mad,rom,7,258
mad,rom,8,260
mad,rom,9,258
mad,rom,10,258
mad,rom,11,232
mad,rom,12,232
mad,rom,13,205
mad,rom,14,152
mad,rom,15,258
mad,rom,16,232
mad,rom,17,232
mad,rom,18,232
mad,rom,19,258
mad,rom,20,232
mad,rom,21,205
mad,rom,22,152
mad,rom,23,232
mad,rom,24,258
mad,rom,25,260
mad,rom,26,258
mad,rom,27,232
mad,rom,28,205
mad,rom,29,258
mad,rom,30,232
mad,rom,31,258
par,ams,1,128
par,ams,2,128
par,ams,3,478
par,ams,4,478
par,ams,5,128
par,ams,6,569
par,ams,7,128
par,ams,8,144
par,ams,9,446
par,ams,10,569
par,ams,11,128
par,ams,12,144
par,ams,13,655
par,ams,14,385
par,ams,15,128
par,ams,16,385
par,ams,17,128
par,ams,18,144
par,ams,19,128
par,ams,20,392
par,ams,21,392
par,ams,22,128
par,ams,23,385
par,ams,24,117
par,ams,25,128
par,ams,26,128
par,ams,27,518
par,ams,28,304
par,ams,29,128
par,ams,30,385
par,ams,31,478
par,bhz,21,2.898
par,bhz,22,2.998
par,bhz,23,2.898
par,bhz,24,2.898
par,bhz,25,2.898
par,bhz,26,2.898
par,bhz,27,2.898
par,bhz,28,2.898
par,bhz,29,3.148
par,bhz,30,3.449
par,bhz,31,3.196
par,lon,1,195
par,lon,2,148
par,lon,3,149
par,lon,4,174
par,lon,5,276
par,lon,6,186
par,lon,7,174
par,lon,8,297
par,lon,9,232
par,lon,10,148
par,lon,11,174
par,lon,12,238
par,lon,13,174
par,lon,14,149
par,lon,15,195
par,lon,16,148
par,lon,17,195
par,lon,18,251
par,lon,19,195
par,lon,20,282
par,lon,21,149
par,lon,22,148
par,lon,23,149
par,lon,24,195
par,lon,25,297
par,lon,26,148
par,lon,27,304
par,lon,28,149
par,lon,29,175
par,lon,30,282
par,lon,31,250
par,mad,1,317
par,mad,2,271
par,mad,3,314
par,mad,4,314
par,mad,5,499
par,mad,6,275
par,mad,7,383
par,mad,8,525
par,mad,9,381
par,mad,10,271
